Entity,Day,daily_vaccinations
Idaho,07/03/2021,11239
Idaho,08/03/2021,11146
Idaho,09/03/2021,11368
Idaho,10/03/2021,11225
Idaho,11/03/2021,11396
Idaho,12/03/2021,11431
Idaho,13/03/2021,11251
Idaho,14/03/2021,11304
Idaho,15/03/2021,11055
Idaho,16/03/2021,10980
Illinois,13/01/2021,18854
Illinois,14/01/2021,28330
Illinois,15/01/2021,30253
Illinois,16/01/2021,28158
Illinois,17/01/2021,26902
Illinois,18/01/2021,26064
Illinois,19/01/2021,25465
Illinois,20/01/2021,24867
Illinois,21/01/2021,23837
Illinois,22/01/2021,24248
Illinois,23/01/2021,27873
Illinois,24/01/2021,31080
Illinois,25/01/2021,31402
Illinois,26/01/2021,30390
Illinois,27/01/2021,32390
Illinois,28/01/2021,36114
Illinois,29/01/2021,39571
Illinois,30/01/2021,42007
Illinois,31/01/2021,44626
Illinois,01/02/2021,47373
Illinois,02/02/2021,47870
Illinois,03/02/2021,48845
Illinois,04/02/2021,50721
Illinois,05/02/2021,51860
Illinois,06/02/2021,54451
Illinois,07/02/2021,55733
Illinois,08/02/2021,57554
Illinois,09/02/2021,57815
Illinois,10/02/2021,61601
Illinois,11/02/2021,60923
Illinois,12/02/2021,61067
Illinois,13/02/2021,63229
Illinois,14/02/2021,64663
Illinois,15/02/2021,63802
Illinois,16/02/2021,68086
Illinois,17/02/2021,65188
Illinois,18/02/2021,61794
Illinois,19/02/2021,71364
Illinois,20/02/2021,69845
Illinois,21/02/2021,69331
Illinois,22/02/2021,64299
Illinois,23/02/2021,65950
Illinois,24/02/2021,66469
Illinois,25/02/2021,68866
Illinois,26/02/2021,66470
Illinois,27/02/2021,67681
Illinois,28/02/2021,69238
Illinois,01/03/2021,78880
Illinois,02/03/2021,77559
Illinois,03/03/2021,80143
Illinois,04/03/2021,84036
Illinois,05/03/2021,80655
Illinois,06/03/2021,86539
Illinois,07/03/2021,92781
Illinois,08/03/2021,95036
Illinois,09/03/2021,91731
Illinois,10/03/2021,92887
Illinois,11/03/2021,95719
Illinois,12/03/2021,102980
Illinois,13/03/2021,122334
Illinois,14/03/2021,103399
Illinois,15/03/2021,103731
Illinois,16/03/2021,111141
Indiana,13/01/2021,19490
Indiana,14/01/2021,20822
Indiana,15/01/2021,22822
Indiana,16/01/2021,21765
Indiana,17/01/2021,21131
Indiana,18/01/2021,20708
Indiana,19/01/2021,20406
Indiana,20/01/2021,20722
Indiana,21/01/2021,21950
Indiana,22/01/2021,21974
Indiana,23/01/2021,23875
Indiana,24/01/2021,21219
Indiana,25/01/2021,25109
Indiana,26/01/2021,23448
Indiana,27/01/2021,23971
Indiana,28/01/2021,23572
Indiana,29/01/2021,23885
Indiana,30/01/2021,23022
Indiana,31/01/2021,23022
Indiana,01/02/2021,16476
Indiana,02/02/2021,16209
Indiana,03/02/2021,16224
Indiana,04/02/2021,17007
Indiana,05/02/2021,18509
Indiana,06/02/2021,20369
Indiana,07/02/2021,20369
Indiana,08/02/2021,20369
Indiana,09/02/2021,21254
Indiana,10/02/2021,22565
Indiana,11/02/2021,22977
Indiana,12/02/2021,23240
Indiana,13/02/2021,38430
Indiana,14/02/2021,44158
Indiana,15/02/2021,46507
Indiana,16/02/2021,47242
Indiana,17/02/2021,45387
Indiana,18/02/2021,41992
Indiana,19/02/2021,45789
Indiana,20/02/2021,30805
Indiana,21/02/2021,30138
Indiana,22/02/2021,31003
Indiana,23/02/2021,29588
